protein_id,High_Pause_Counts,transcript_id_x
ENSP00000230419.4,27,ENST00000230419.9
ENSP00000230449.4,34,ENST00000230449.9
ENSP00000230461.6,18,ENST00000230461.11
ENSP00000230640.5,16,ENST00000230640.10
ENSP00000230658.7,7,ENST00000230658.12
ENSP00000230792.2,20,ENST00000230792.7
ENSP00000230895.7,12,ENST00000230895.11
ENSP00000230901.5,25,ENST00000230901.9
ENSP00000231061.4,9,ENST00000231061.9
ENSP00000231198.7,13,ENST00000231198.12
ENSP00000231238.4,4,ENST00000231238.10
ENSP00000231368.5,54,ENST00000231368.10
ENSP00000231498.3,54,ENST00000231498.8
ENSP00000231512.3,18,ENST00000231512.5
ENSP00000231572.3,0,ENST00000231572.8
ENSP00000231887.3,96,ENST00000231887.8
ENSP00000232375.3,49,ENST00000232375.8
ENSP00000232424.3,0,ENST00000232424.4
ENSP00000232564.3,13,ENST00000232564.8
ENSP00000232607.2,10,ENST00000232607.7
ENSP00000232766.5,16,ENST00000232766.6
ENSP00000232888.6,0,ENST00000232888.7
ENSP00000232978.8,81,ENST00000232978.13
ENSP00000233027.5,42,ENST00000233027.10
ENSP00000233055.4,28,ENST00000233055.9
ENSP00000233078.4,6,ENST00000233078.9
ENSP00000233099.5,92,ENST00000233099.6
ENSP00000233121.2,26,ENST00000233121.7
ENSP00000233143.4,6,ENST00000233143.6
ENSP00000233146.2,26,ENST00000233146.7
ENSP00000233154.4,7,ENST00000233154.9
ENSP00000233242.1,7,ENST00000233242.5
ENSP00000233336.5,14,ENST00000233336.7
ENSP00000233468.4,9,ENST00000233468.5
ENSP00000233535.4,69,ENST00000233535.9
ENSP00000233575.2,15,ENST00000233575.7
ENSP00000233596.2,20,ENST00000233596.8
ENSP00000233630.6,20,ENST00000233630.11
ENSP00000233710.3,35,ENST00000233710.4
ENSP00000233809.4,3,ENST00000233809.9
ENSP00000233838.3,6,ENST00000233838.9
ENSP00000233893.5,14,ENST00000233893.10
ENSP00000234038.6,13,ENST00000234038.11
ENSP00000234160.4,13,ENST00000234160.5
ENSP00000234170.5,60,ENST00000234170.10
ENSP00000234256.3,17,ENST00000234256.4
